File: CAP_3_00_01_05_06_20.bin  (131072 bytes, 131072 samples)

   Index   Dec   Hex         Bin
    1008    71    47  01000111
    1009    71    47  01000111
    1010    70    46  01000110
    1011    71    47  01000111
    1012    71    47  01000111
    1013    71    47  01000111
    1014    71    47  01000111
    1015    71    47  01000111
    1016    71    47  01000111
    1017    71    47  01000111
    1018    70    46  01000110
    1019    71    47  01000111
    1020    71    47  01000111
    1021    71    47  01000111
    1022    70    46  01000110
    1023    71    47  01000111
    1024    71    47  01000111
    1025    70    46  01000110
    1026    70    46  01000110
    1027    71    47  01000111
    1028    71    47  01000111
    1029    71    47  01000111
    1030    71    47  01000111
    1031    71    47  01000111
    1032    71    47  01000111
    1033    71    47  01000111
    1034    70    46  01000110
    1035    71    47  01000111
    1036    71    47  01000111
    1037    71    47  01000111
    1038    71    47  01000111
    1039    71    47  01000111
    1040    71    47  01000111
    1041    71    47  01000111
    1042    70    46  01000110
    1043    71    47  01000111
    1044    71    47  01000111
    1045    71    47  01000111
    1046    71    47  01000111
    1047    71    47  01000111
    1048    71    47  01000111
    1049    71    47  01000111
    1050    70    46  01000110
    1051    71    47  01000111
    1052    71    47  01000111
    1053    71    47  01000111
    1054    71    47  01000111
    1055    71    47  01000111
    1056    71    47  01000111
    1057    71    47  01000111
    1058    70    46  01000110
    1059    71    47  01000111
    1060    71    47  01000111
    1061    71    47  01000111
    1062    71    47  01000111
    1063    71    47  01000111
    1064    71    47  01000111
    1065    71    47  01000111
    1066    70    46  01000110
    1067    71    47  01000111
    1068    71    47  01000111
    1069    71    47  01000111
    1070    71    47  01000111
    1071    71    47  01000111
    1072    71    47  01000111
    1073    71    47  01000111
    1074    70    46  01000110
    1075    71    47  01000111
    1076    71    47  01000111
    1077    71    47  01000111
    1078    71    47  01000111
    1079    71    47  01000111
    1080    71    47  01000111
    1081    71    47  01000111
    1082    71    47  01000111
    1083    71    47  01000111
    1084    71    47  01000111
    1085    71    47  01000111
    1086    71    47  01000111
    1087    71    47  01000111
    1088    71    47  01000111
    1089    71    47  01000111
    1090    70    46  01000110
    1091    71    47  01000111
    1092    71    47  01000111
    1093    71    47  01000111
    1094    71    47  01000111
    1095    71    47  01000111
    1096    71    47  01000111
    1097    70    46  01000110
    1098    70    46  01000110
    1099    71    47  01000111
    1100    71    47  01000111
    1101    71    47  01000111
    1102    71    47  01000111
    1103    71    47  01000111
    1104    71    47  01000111
    1105    71    47  01000111
    1106    71    47  01000111
    1107    71    47  01000111
    1108    71    47  01000111
    1109    71    47  01000111
    1110    71    47  01000111
    1111    71    47  01000111
    1112    71    47  01000111
    1113    71    47  01000111
    1114    71    47  01000111
    1115    71    47  01000111
    1116    71    47  01000111
    1117    71    47  01000111
    1118    71    47  01000111
    1119    71    47  01000111
    1120    71    47  01000111
    1121    71    47  01000111
    1122    70    46  01000110
    1123    71    47  01000111
    1124    71    47  01000111
    1125    71    47  01000111
    1126    71    47  01000111
    1127    71    47  01000111
    1128    71    47  01000111
    1129    71    47  01000111
    1130    70    46  01000110
    1131    71    47  01000111
    1132    71    47  01000111
    1133    71    47  01000111
    1134    71    47  01000111
    1135    71    47  01000111
    1136    71    47  01000111
    1137    71    47  01000111
    1138    70    46  01000110
    1139    71    47  01000111
    1140    71    47  01000111
    1141    71    47  01000111
    1142    71    47  01000111
    1143    71    47  01000111
    1144    71    47  01000111
    1145    70    46  01000110
    1146    70    46  01000110
    1147    71    47  01000111
    1148    71    47  01000111
    1149    71    47  01000111
    1150    71    47  01000111
    1151    71    47  01000111
    1152    71    47  01000111
    1153    71    47  01000111
    1154    70    46  01000110
    1155    71    47  01000111
    1156    71    47  01000111
    1157    71    47  01000111
    1158    71    47  01000111
    1159    71    47  01000111
    1160    71    47  01000111
    1161    71    47  01000111
    1162    70    46  01000110
    1163    71    47  01000111
    1164    71    47  01000111
    1165    71    47  01000111
    1166    71    47  01000111
    1167    71    47  01000111
    1168    71    47  01000111
    1169    71    47  01000111
    1170    70    46  01000110
    1171    71    47  01000111
    1172    71    47  01000111
    1173    71    47  01000111
    1174    71    47  01000111
    1175    71    47  01000111
    1176    71    47  01000111
    1177    71    47  01000111
    1178    70    46  01000110
    1179    71    47  01000111
    1180    71    47  01000111
    1181    71    47  01000111
    1182    71    47  01000111
    1183    71    47  01000111
    1184    71    47  01000111
    1185    71    47  01000111
    1186    70    46  01000110
    1187    71    47  01000111
    1188    71    47  01000111
    1189    71    47  01000111
    1190    71    47  01000111
    1191    71    47  01000111
    1192    71    47  01000111
    1193    71    47  01000111
    1194    71    47  01000111
    1195    71    47  01000111
    1196    71    47  01000111
    1197    71    47  01000111
    1198    71    47  01000111
    1199    71    47  01000111
    1200    71    47  01000111
    1201    71    47  01000111
    1202    70    46  01000110
    1203    71    47  01000111
    1204    71    47  01000111
    1205    71    47  01000111
    1206    71    47  01000111
    1207    71    47  01000111
    1208    71    47  01000111
    1209    71    47  01000111
    1210    70    46  01000110
    1211    71    47  01000111
    1212    71    47  01000111
    1213    71    47  01000111
    1214    71    47  01000111
    1215    71    47  01000111
    1216    71    47  01000111
    1217    70    46  01000110
    1218    70    46  01000110
    1219    71    47  01000111
    1220    71    47  01000111
